id,vx_kms,vy_kms,vz_kms,status,end_time_s,total_eV,conv_eV,hall_eV,deltaK_eV,residual_eV
1,4.077654342734892,41.9145710808954,71.31009395106047,4,-334.80526711649514,-911.6502796567686,-952.8400261468737,41.189757739728584,-911.6504530068744,0.00017335010579699883
2,-45.999697029818094,79.65319216493675,-16.012884660315912,4,-317.4466474544666,-9119.108773566655,-9151.920026465832,32.81127445015732,-9119.112432468066,0.0036589014107448747
3,17.528107808471137,6.808846396211832,-8.035176740687236,4,-165.58600573456224,-1491.4575378507916,-864.400117243807,-627.0574203638768,-1491.4574583590208,-7.949177074806357e-5
4,-29.997157305784445,26.15356696463802,37.22639093973069,1,-500.0000000000794,409.29205090147497,294.3383368760072,114.95371351486395,409.2920946495374,-4.374806241003171e-5
5,69.27549056781164,-18.71288039670748,15.137681199938166,4,-87.67338812528487,-330.93900811593863,-6.11340270855624,-324.8256055771653,-330.93897250770175,-3.560823688530945e-5
6,2.4489578448128744,7.881094424569246,-6.312227786889161,4,-207.60503102751758,-1792.1933646479,-1132.2795540925779,-659.9138102091152,-1792.19370066499,0.0003360170901487436
7,-44.63267828719885,69.0248326228609,7.337935608734007,4,-316.9791927585234,-6697.3649010702375,-6637.0604007528955,-60.30449191959259,-6697.3644106254715,-0.0004904447660010192
8,-71.7746204066057,-50.2593548404897,-26.0388931321328,2,-51.56878470215363,121.65218480436715,-2.3072230950519828,123.95940714428191,121.65151484086692,0.000669963500229187
9,31.56937747576108,2.835874394489363,-12.865443707260113,4,-133.93020878989253,-1418.3278625103821,-749.6738023381354,-668.6540585146637,-1418.3277380307863,-0.00012447959579731105
10,21.902549043673687,29.310640742238125,36.4635987753172,4,-175.0100445695339,127.43494020523127,200.75778284810676,-73.32284294933079,127.43487371485924,6.649037203487751e-5
11,-13.73450602622335,-19.24699678262383,0.9525954462844991,1,-500.0000000000794,87.21925195208935,29.398198029168217,57.82105329641911,87.21924047924387,1.1472845486082406e-5
12,12.309670958437877,-5.732925742901241,-41.99930363555718,4,-135.30969640847303,-7329.1292721981345,-6996.173556355422,-332.95573903890244,-7329.125034428889,-0.004237769245264644
13,49.05440738669647,-42.16545625881653,-26.537574039167925,4,-123.57930923616858,187.14512240982617,36.63190883936278,150.51321299564995,187.14494105576148,0.00018135406469355075
14,-13.668678636782941,-62.46259884926199,67.06485481298712,4,-298.181203758329,-6709.509944725521,-6654.328420210997,-55.18147681741191,-6709.5088838892025,-0.0010608363181745517
15,63.37997276067173,-49.00672908112815,-5.225416817930679,4,-95.20095392757786,108.78451638430037,27.019056994362792,81.7654579158341,108.78425508903813,0.0002612952622484954
16,-31.947342885239948,-60.526244770365494,-27.929287561868904,2,-156.5439396744409,265.5157712548118,193.28325578132365,72.23251545967335,265.51432781350394,0.0014434413078561192
17,-4.95127812124861,18.26726469792301,-73.337755632457,4,-128.8899236655461,-12334.8726556735,-12675.501120064586,340.62843337318196,-12334.868388957939,-0.004266715561243473
18,3.2587424946884145,6.153571536402104,-3.316784295421063,4,-212.15418634343698,-1605.8876219434444,-944.6566521328934,-661.2309732583338,-1605.8877764715232,0.00015452807883775677
19,0.6703315994312542,0.2399387904144773,-1.0287984399188455,4,-229.44335573333598,-1516.920523162416,-862.8128360442408,-654.1076883297551,-1516.920536500667,1.3338250937522389e-5
20,51.04940885957135,-83.00365521286697,18.206323990690514,4,-93.64323851406276,418.3747130786854,465.54256455710293,-47.16785146938152,418.37409884711906,0.0006142315663169029
21,-80.73032262741998,-9.040780295203133,57.02689135841858,2,-127.5933336858486,16.00421857532001,-164.3584759900033,180.36270562652172,15.95679911960499,0.04741945571502093
22,-10.25366483187952,-10.647269007219736,-2.5879275149654153,4,-321.0967058215703,-1404.0051125909026,-767.1332199397866,-636.8718933929182,-1404.0052163134485,0.00010372254587309726
23,4.778921257679279,18.389422625392164,12.349202629027937,4,-310.14987422044567,-262.1044449688044,-42.871427734007,-219.2330182725629,-262.1044569946875,1.2025883108890412e-5
24,35.249417618148655,22.06120828075106,50.5545575687848,4,-126.53335670743382,206.46134953493385,296.90835874184506,-90.44700990988878,206.4613579421621,-8.40722825046214e-6
25,10.70534439427348,4.3913984371593315,-9.8372108517418,4,-176.74811902346636,-1829.7064727851002,-1190.8048447280635,-638.9016301006687,-1829.7069121380857,0.0004393529854951339
26,15.714366092659388,-34.68557319969703,4.854333304817336,4,-236.9211985066474,35.955110982509545,43.1218793514106,-7.166769293819426,35.95498617582014,0.00012480668940639816
27,-27.091845693937305,-16.731169557437873,-9.118936247963969,2,-143.54795292183914,91.48376110592211,-1.7926624891367815,93.2764234403652,91.48395253633664,-0.00019143041453162368
28,-35.9512905922097,-30.66436782882041,-38.95674843394621,2,-94.14974749785937,157.8028065525474,6.228799873772651,151.57400558540525,157.802008426993,0.0007981255543825228
29,95.89695839580608,28.098231958423646,1.7922299303184919,4,-66.22971051222422,-269.1887887223471,-36.82743747477994,-232.36135013630104,-269.18873115633204,-5.756601507300729e-5
30,-23.408303079245645,38.75733598971338,-85.58607338044833,4,-160.7482237988675,-3017.8593710964115,-3135.779357489506,117.91999267262129,-3017.8569194146858,-0.002451681725688104
31,23.403536053502794,16.685369325599858,-33.59436771624512,4,-137.81541421121975,-3483.312140500627,-3057.098322787634,-426.2138073120291,-3483.3101953991195,-0.001945101507317304
32,61.39664918609773,-6.164268730296536,-9.480416695001415,4,-94.4814804756711,-945.3839242222148,-307.1532801649328,-638.2306443435695,-945.3838058991314,-0.00011832308337034192
33,-0.022195519674794845,-2.706779119708112,1.1879462093010595,4,-244.9758470794431,-1348.9232675248047,-717.6600019444028,-631.2632665300729,-1348.9231624737267,-0.00010505107798053359
34,31.56831325265811,-91.48913594016052,-3.2951742480311905,4,-146.4938337373621,43.409951678042624,120.68758168855996,-77.27762424403363,43.40926615904085,0.0006855190017773793
35,-20.169444525033885,7.197525400113064,-18.215774666975047,4,-241.23527436767208,-3203.041688761471,-2479.620467801539,-723.4212191963347,-3203.0401210996474,-0.0015676618236284412
36,-2.243471664696752,21.597092009664912,0.5540843492347199,4,-331.06134379306036,-665.2832590375856,-367.11327984277534,-298.16997772366125,-665.2832397090795,-1.93285061413917e-5
37,0.7411291362265368,14.484564913742695,-5.852806583473431,4,-225.27921343943638,-1641.407532756235,-1033.9205172504003,-607.4870183389927,-1641.407330148426,-0.000202607809114852
38,-13.755332933884228,-63.063535503281926,29.68312264201138,4,-377.8370909119253,-8105.557582922011,-8058.514287622376,-47.04328059703404,-8105.557854608317,0.0002716863064051722
39,-34.43220271319012,-6.886178426140365,-21.3659107421043,4,-304.78812138224595,-2150.2274175938664,-956.028362581195,-1194.1990490910694,-2150.227688588326,0.0002709944596972491
40,-7.797507065048994,1.1893764176721588,-11.569479903295285,4,-218.9066231456874,-2662.8350982806173,-2024.7204583257815,-638.1146436782474,-2662.83594157386,0.0008432932427240303
41,32.39673528335511,12.980439841552071,-62.413049298208506,4,-105.6439854356279,-6130.378355496052,-5953.956797618239,-176.42157636585162,-6130.372562642861,-0.005792853190541791
42,-20.889265484843836,36.32420722249997,69.36930311277735,4,-385.69168390510123,-10791.22981497513,-10748.087891076533,-43.141941414604275,-10791.230141567637,0.0003265925079176668
43,-35.7298317651623,25.151855774205167,-19.79729107571309,2,-94.75691751655268,118.41257166179834,4.130435180289283,114.28213635840302,118.41295084979058,-0.0003791879922374619
44,77.0278073553848,51.79464779434573,-6.357521533309317,4,-79.41360314823939,112.92201370855787,18.656741832255666,94.26527203019619,112.92197020880565,4.349975222339708e-5
45,0.881156097673625,-22.853889533096904,11.78475956379609,4,-416.5095629162871,37.321273421837326,29.107451919603093,8.21382149347916,37.32121733158372,5.609025360797659e-5
46,-14.837581464499545,-72.10069089799556,-0.8206690079210434,4,-356.88800828926395,-8168.067921593373,-8149.197132648134,-18.870785981908124,-8168.065809410459,-0.0021121829140611226
47,-5.321153269638127,-56.06921270148878,10.997563200966612,4,-390.72280442959976,-2034.944518244282,-2002.874773704454,-32.06974013421428,-2034.9435190749182,-0.0009991693639221921
48,1.170589903017287,17.53329266569076,-6.228939674805819,4,-232.54415971092484,-1559.106308317451,-981.014028031539,-578.0922850156636,-1559.1064054164456,9.709899450172088e-5
49,68.2500009405674,-10.797392938849168,-16.439571385136134,4,-86.98576108385384,-937.3689236203561,-337.8905655665339,-599.4783571040258,-937.3687922475123,-0.00013137284383901715
