vx_kms,vy_kms,vz_kms
-2.000000000000000000e+02,-4.000000000000000000e+01,8.000000000000000000e+01
-2.000000000000000000e+02,4.000000000000000000e+01,8.000000000000000000e+01
-1.700000000000000000e+02,-1.400000000000000000e+02,9.000000000000000000e+01
-1.700000000000000000e+02,1.400000000000000000e+02,9.000000000000000000e+01
1.900000000000000000e+02,1.800000000000000000e+02,1.800000000000000000e+02
