id,vx_kms,vy_kms,vz_kms,status,end_time_s,total_eV,conv_eV,hall_eV,deltaK_eV,residual_eV
1,151.66073656729802,0.0,-70.74994210351325,4,-30.838151128041755,-11977.563897272745,-11977.531205803401,-0.03267937483776045,-11977.538035351996,-0.025861920748866396
2,49.89379425744296,0.0,-22.0954550912468,4,-41.96092598206714,-11173.944642232585,-11164.42526486034,-9.519389571023401,-11173.979120947432,0.03447871484604548
3,-44.36195662045729,0.0,76.81727671404722,4,-64.30158405350501,-7514.497504251074,-7499.910218783212,-14.587306208911976,-7514.518962710498,0.02145845942413871
4,-16.123314799173347,0.0,46.115641318281895,4,-56.874602398672565,-9292.830425546545,-9275.70541609939,-17.12499927492302,-9292.833083930005,0.002658383460584446
5,-20.364227306917947,0.0,-5.9086246034175165,4,-48.54552965730699,-9947.114533683844,-9927.550989916,-19.563556258899002,-9947.120404273259,0.005870589415280847
6,-128.05882962246525,0.0,111.65041879813327,4,-75.7876759256382,-982.3657910198557,-971.508130134112,-10.857692501398969,-982.3709165032932,0.005125483437495859
7,-119.02761087934661,0.0,-90.1961046143781,4,-36.364552756884656,-9148.259943831892,-9128.46927280258,-19.790656021732453,-9148.262740234923,0.0027964030305156484
8,152.53656680993205,0.0,116.64073666264561,4,-48.996221450668735,-11494.574912249975,-11089.42190827311,-405.15301632925235,-11494.572973616483,-0.0019386334915907355
9,14.031454799025708,0.0,45.155215888841305,4,-54.06154860784656,-10147.241258813941,-10127.246675913337,-19.994568619763488,-10147.247607174297,0.006348360355332261
10,-160.33155919258954,0.0,-45.990151940029605,4,-41.084161507258834,-7314.442635442662,-7293.723243184139,-20.719389397996924,-7314.457923922049,0.015288479386981635
11,64.21408703131324,0.0,-38.47283610237425,4,-39.120231836215034,-11214.12959455827,-11176.801416295792,-37.328180100594864,-11214.084379149965,-0.045215408305011806
12,-63.842304603266655,0.0,-44.7048416656607,4,-43.38381432939607,-9531.720949717082,-9511.976969117735,-19.743950193533323,-9531.716221898449,-0.004727818633909919
13,-28.46099912977303,0.0,69.38481245635239,4,-61.635049172728884,-8402.976302660496,-8387.182876666893,-15.793446095004024,-8402.991415891101,0.0151132306054933
14,-12.640330393915738,0.0,-1.3206638697893751,4,-48.897046955530726,-10060.839571958435,-10040.790315269298,-20.049264870264356,-10060.841634702178,0.0020627437424991513
15,102.9930163333745,0.0,137.82830914737517,4,-60.86000687505517,-11870.020855962495,-11372.119175109054,-497.9016674505458,-11870.036479884966,0.015623922470695106
16,-54.52292141864121,0.0,-6.932197221855235,4,-49.589054028261366,-9129.642526296491,-9110.452135766665,-19.19037994658059,-9129.634657073611,-0.007869222879890003
17,-124.79313722602711,0.0,48.14402810721153,4,-60.02663506753156,-4922.2639898567095,-4906.419722913599,-15.844284888658919,-4922.263478313793,-0.0005115429166835384
18,13.24158333738028,0.0,-6.1669409562571325,4,-46.68667004056623,-10526.13222786436,-10505.49024574019,-20.642001457334946,-10526.143649649219,0.011421784858612227
19,-52.77049482075838,0.0,132.73902928466953,4,-72.99349373134713,-5102.952890927936,-5115.5505433933395,12.597680006786712,-5102.953031280844,0.00014035290769243147
20,159.88373249636388,0.0,-79.43504346893383,4,-29.775463259335254,-11977.867534349149,-11976.829720273447,-1.037783023725573,-11977.861945564913,-0.00558878423544229
21,-37.14437890478763,0.0,-169.74094575544177,4,-28.06230866776739,-10807.614939474715,-10785.618672050878,-21.99626184464996,-10807.629751378792,0.014811904076850624
22,-159.15913340250145,0.0,33.00423643172868,4,-54.56861236035143,-4307.439368294724,-4290.082808208002,-17.356549655167047,-4307.435983323629,-0.0033849710944195976
