vx_kms,vy_kms,vz_kms,dt_s,total_eV,conv_eV,hall_eV,deltaK_eV,residual_eV,status
-200.0,-40.0,80.0,-0.05,6.676399911333001,19.157168807575527,-12.480790515744586,6.675503993224666,0.0008959181083350032,4
-200.0,-40.0,80.0,-0.025,6.679655314726904,19.161478579589264,-12.481844886664735,6.676828409236849,0.002826905490055154,4
-200.0,-40.0,80.0,-0.0125,6.676897960239592,19.158648577291792,-12.481772239042456,6.676725497194571,0.00017246304502105403,4
-200.0,-40.0,80.0,-0.00625,6.677052656729539,19.158853684826052,-12.481822650492063,6.676614141886352,0.0004385148431866881,4
-200.0,40.0,80.0,-0.05,6.483855420019988,19.002889245375027,-12.519023127043173,6.4818355922655035,0.0020198277544842824,4
-200.0,40.0,80.0,-0.025,6.485816357559401,19.00587472055656,-12.520047664947366,6.483204449460741,0.002611908098659299,4
-200.0,40.0,80.0,-0.0125,6.4833015428205165,19.003298806712316,-12.51998656555235,6.483045895745712,0.0002556470748045214,4
-200.0,40.0,80.0,-0.00625,6.483288394115663,19.003329635555335,-12.520030543470824,6.482910454773063,0.00037793934259955364,4
-170.0,-140.0,90.0,-0.05,0.08789824960928877,8.811107940439246,-8.723223093052582,0.09178681143213818,-0.0038885618228494123,4
-170.0,-140.0,90.0,-0.025,0.09499934263466342,8.818773353594052,-8.723787414798798,0.09158904225010882,0.0034103003845546015,4
-170.0,-140.0,90.0,-0.0125,0.09261677186857198,8.816378437700903,-8.72377506978195,0.09159615901593929,0.0010206128526326907,4
-170.0,-140.0,90.0,-0.00625,0.09176912281259633,8.815584768164596,-8.723829049165813,0.09166636245235443,0.00010276036024189916,4
-170.0,140.0,90.0,-0.05,0.42077393596171503,9.17253278681106,-8.751775643560629,0.4227404824799928,-0.0019665465182777675,4
-170.0,140.0,90.0,-0.025,0.426408272206533,9.178698309823828,-8.752306831397869,0.42274064980805787,0.0036676223984751233,4
-170.0,140.0,90.0,-0.0125,0.4238690529598864,9.176180106753584,-8.752327846801027,0.4227470776107564,0.00112197534913,4
-170.0,140.0,90.0,-0.00625,0.42303043494829007,9.175390818990959,-8.752377177285437,0.4227635495653175,0.00026688538297259257,4
190.0,180.0,180.0,-0.05,-5.310926417211251,41.730393334709966,-47.04132479004418,-5.319715440793491,0.008789023582240318,4
190.0,180.0,180.0,-0.025,-5.323082278646494,41.71807418782257,-47.04116151775509,-5.326612372405788,0.0035300937592941395,4
190.0,180.0,180.0,-0.0125,-5.327451327370433,41.71353287923974,-47.04098925804481,-5.328421038223787,0.0009697108533543997,4
190.0,180.0,180.0,-0.00625,-5.32899834674477,41.71196120949008,-47.04096460886412,-5.328963634663966,-3.4712080804411016e-5,4
